x y z charge scale scaleCoul Type
 0 0 -0.259526  0.547197  3.74015 0.688558 1 1 4
 0 1 5.03161  9.1463  4.79126 0.688576 1 1 4
 0 2 7.10247  5.39395  0.525558 0.688578 1 1 4
 0 3 -2.33038  4.29955  8.00585 0.688597 1 1 4
 0 4 -1.23824  8.59966  3.1485 -0.189726 1 1 3
 0 5 6.01033  1.09384  5.38291 -0.189706 1 1 3
 0 6 8.08119  3.75291  1.1172 -0.189705 1 1 3
 0 7 -3.3091  5.94059  7.41421 -0.189705 1 1 3
 0 8 6.4037  8.2411  3.50637 -0.19279 1 1 3
 0 9 -1.63161  1.4524  5.02503 -0.192839 1 1 3
 0 10 0.439246  3.39435  0.759327 -0.192842 1 1 3
 0 11 4.33285  6.29915  7.77208 -0.19284 1 1 3
 0 12 7.09007  6.86041  1.9156 -0.317825 1 1 3
 0 13 -2.31798  2.8331  6.61581 -0.317856 1 1 3
 0 14 -0.247125  2.01366  2.35011 -0.317783 1 1 3
 0 15 5.01922  7.67985  6.1813 -0.317845 1 1 3
 0 16 1.10224  0.74978  5.2239 -0.498914 1 1 2
 0 17 3.66985  8.94372  3.30751 -0.498913 1 1 2
 0 18 1.599  5.59653  7.57321 -0.498917 1 1 2
 0 19 3.17309  4.09698  0.958189 -0.498914 1 1 2
 0 20 3.23796  0.308322  5.77558 -0.504972 1 1 2
 0 21 1.53414  9.38517  2.75582 -0.504996 1 1 2
 0 22 -0.536714  5.15507  7.02153 -0.504964 1 1 2
 0 23 5.30881  4.53843  1.50988 -0.504947 1 1 2
 0 24 -0.853851  7.75886  2.19031 0.1511 1 1 1
 0 25 5.62594  1.93464  6.3411 0.151084 1 1 1
 0 26 7.6968  2.91211  2.0754 0.151075 1 1 1
 0 27 -2.9247  6.78139  6.45601 0.15109 1 1 1
 0 28 6.08238  7.19484  2.7546 0.163631 1 1 1
 0 29 -1.31029  2.49866  5.7768 0.163688 1 1 1
 0 30 0.760563  2.34809  1.5111 0.163655 1 1 1
 0 31 4.01153  7.34541  7.02031 0.163692 1 1 1
 0 32 2.26699  0.304047  4.9744 0.467519 1 1 1
 0 33 2.50511  9.38945  3.55701 0.467537 1 1 1
 0 34 0.434258  5.1508  7.82271 0.467506 1 1 1
 0 35 4.33785  4.5427  0.708696 0.46749 1 1 1
 0 36 0.11896  7.81478  1.71596 0.115606 1 1 0
 0 37 4.65313  1.87872  6.81545 0.115616 1 1 0
 0 38 6.72398  2.96803  2.54974 0.115601 1 1 0
 0 39 -1.9519  6.72547  5.98167 0.11561 1 1 0
 0 40 5.12768  6.68665  2.80885 0.117813 1 1 0
 0 41 -0.355596  3.00685  5.72256 0.117793 1 1 0
 0 42 1.71526  1.8399  1.45686 0.117796 1 1 0
 0 43 3.05683  7.8536  7.07455 0.117789 1 1 0
 0 44 -4.40123  0.547197  12.2716 0.688558 1 1 4
 0 45 0.889903  9.1463  13.3227 0.688576 1 1 4
 0 46 2.96076  5.39395  9.05697 0.688578 1 1 4
 0 47 -6.47209  4.29955  16.5373 0.688597 1 1 4
 0 48 -5.37995  8.59966  11.6799 -0.189726 1 1 3
 0 49 1.86863  1.09384  13.9143 -0.189706 1 1 3
 0 50 3.93948  3.75291  9.64861 -0.189705 1 1 3
 0 51 -7.4508  5.94059  15.9456 -0.189705 1 1 3
 0 52 2.26199  8.2411  12.0378 -0.19279 1 1 3
 0 53 -5.77332  1.4524  13.5564 -0.192839 1 1 3
 0 54 -3.70246  3.39435  9.29073 -0.192842 1 1 3
 0 55 0.19114  6.29915  16.3035 -0.19284 1 1 3
 0 56 2.94836  6.86041  10.447 -0.317825 1 1 3
 0 57 -6.45969  2.8331  15.1472 -0.317856 1 1 3
 0 58 -4.38883  2.01366  10.8815 -0.317783 1 1 3
 0 59 0.877508  7.67985  14.7127 -0.317845 1 1 3
 0 60 -3.03947  0.74978  13.7553 -0.498914 1 1 2
 0 61 -0.471855  8.94372  11.8389 -0.498913 1 1 2
 0 62 -2.54271  5.59653  16.1046 -0.498917 1 1 2
 0 63 -0.968614  4.09698  9.4896 -0.498914 1 1 2
 0 64 -0.903748  0.308322  14.307 -0.504972 1 1 2
 0 65 -2.60757  9.38517  11.2872 -0.504996 1 1 2
 0 66 -4.67842  5.15507  15.5529 -0.504964 1 1 2
 0 67 1.1671  4.53843  10.0413 -0.504947 1 1 2
 0 68 -4.99556  7.75886  10.7217 0.1511 1 1 1
 0 69 1.48423  1.93464  14.8725 0.151084 1 1 1
 0 70 3.55509  2.91211  10.6068 0.151075 1 1 1
 0 71 -7.06641  6.78139  14.9874 0.15109 1 1 1
 0 72 1.94067  7.19484  11.286 0.163631 1 1 1
 0 73 -5.452  2.49866  14.3082 0.163688 1 1 1
 0 74 -3.38115  2.34809  10.0425 0.163655 1 1 1
 0 75 -0.130179  7.34541  15.5517 0.163692 1 1 1
